Name,Symbol,Price (USD),Market Cap (USD),"Volume (24h, USD)",Percent Change 1h,Percent Change 24h,Percent Change 7d,Circulating Supply,Total Supply,Max Supply,Rank,Last Updated
Bitcoin,BTC,107426.57038119675,2136119556535.2324,43712753618.38587,0.08145472,0.03406794,3.86655419,19884462,19884462,21000000.0,1,2025-06-28T06:15:00.000Z
Ethereum,ETH,2427.348171234766,293024381950.8165,13313138626.143301,-0.05680531,-0.67295122,0.14559692,120717903.35778578,120717903.35778578,,2,2025-06-28T06:15:00.000Z
Tether USDt,USDT,1.0004163557907673,157545749190.11685,55576358021.8561,0.00480516,0.00274299,0.02775083,157480181404.65793,159826220133.6082,,3,2025-06-28T06:14:00.000Z
XRP,XRP,2.193449880789933,129425709407.96158,3127195382.9332967,0.37747326,4.87994179,3.08363371,59005546715,99985991375,100000000000.0,4,2025-06-28T06:15:00.000Z
BNB,BNB,645.7662440523271,90979147465.89618,1302767860.7073348,0.05358389,0.15108296,0.42467846,140885573.23,140885573.23,,5,2025-06-28T06:15:00.000Z
Solana,SOL,144.41891759645722,77170420320.36725,3062165513.679674,0.57634158,2.69246033,2.9004786,534351188.92111355,604016012.1435465,,6,2025-06-28T06:15:00.000Z
USDC,USDC,0.9998635843280732,61716519505.93709,7742858877.501005,-0.00434361,0.00891299,0.00575123,61724939755.06841,61724939755.06841,,7,2025-06-28T06:15:00.000Z
TRON,TRX,0.273929305324705,25969453153.699406,364387558.61124206,0.06952221,1.12987946,-0.0094333,94803486333.51309,94803484509.82881,,8,2025-06-28T06:14:00.000Z
Dogecoin,DOGE,0.16246072296485733,24348002584.70237,581226444.9508739,0.17993022,0.98464716,-0.47446711,149870086383.7052,149870086383.7052,,9,2025-06-28T06:15:00.000Z
Cardano,ADA,0.5598954726146017,19804635962.69059,475937120.02953297,-0.01546103,0.84792572,-4.51242481,35372023764.01945,44995088366.06753,45000000000.0,10,2025-06-28T06:15:00.000Z
Hyperliquid,HYPE,36.84794992509616,12304568855.218496,173778460.65817264,-0.06289691,0.36551245,6.23224855,333928180,999993930,1000000000.0,11,2025-06-28T06:15:00.000Z
Bitcoin Cash,BCH,499.980245645143,9944550838.10426,486504158.3863915,0.16162684,1.21706026,5.53345499,19889887.5,19889887.5,21000000.0,12,2025-06-28T06:15:00.000Z
Sui,SUI,2.7185674844861283,9234079704.094357,951057605.3603835,0.09635911,3.415696,-0.44920684,3396671135.3644433,10000000000,10000000000.0,13,2025-06-28T06:15:00.000Z
Chainlink,LINK,13.134066228404794,8906209921.406235,252082237.3231202,-0.02671616,0.40196352,3.59762145,678099970.4527867,1000000000,,14,2025-06-28T06:15:00.000Z
UNUS SED LEO,LEO,9.079331508454052,8381704192.616777,1242028.35191601,-0.03803805,0.78883852,2.18246622,923163140.9,985239504,,15,2025-06-28T06:15:00.000Z
Stellar,XLM,0.23771621439780055,7424064159.911442,113224445.35866947,0.05853656,1.61802342,-2.47863255,31230785744.75285,50001786892.81785,50001806812.0,16,2025-06-28T06:15:00.000Z
